country_id,week,no_publishes
12,27,93
12,28,226
12,29,589
12,30,72
12,31,43
12,32,56
12,33,91
12,34,189
12,35,73
12,36,67
12,37,243
12,38,133
12,39,92
12,40,99
12,41,47
12,42,228
12,43,87
12,44,56
12,45,71
12,46,151
12,47,320
12,48,90
12,49,67
12,50,139
12,51,100
13,27,224
13,28,390
13,29,474
13,30,255
13,31,204
13,32,304
13,33,225
13,34,389
13,35,207
13,36,198
13,37,438
13,38,123
13,39,346
13,40,251
13,41,349
13,42,298
13,43,210
13,44,134
13,45,163
13,46,370
13,47,398
13,48,177
13,49,264
13,50,390
13,51,125
14,27,71
14,28,277
14,29,278
14,30,106
14,31,37
14,32,336
14,33,301
14,34,56
14,35,56
14,36,48
14,37,366
14,38,52
14,39,51
14,40,89
14,41,289
14,42,681
14,43,750
14,44,45
14,45,286
14,46,421
14,47,39
14,48,26
14,49,52
14,50,300
14,51,360
15,27,464
15,28,654
15,29,866
15,30,610
15,31,301
15,32,868
15,33,417
15,34,2585
15,35,322
15,36,237
15,37,463
15,38,557
15,39,621
15,40,249
15,41,499
15,42,537
15,43,521
15,44,154
15,45,333
15,46,513
15,47,895
15,48,310
15,49,355
15,50,416
15,51,393
16,27,275
16,28,336
16,29,652
16,30,129
16,31,82
16,32,120
16,33,362
16,34,312
16,35,121
16,36,145
16,37,628
16,38,411
16,39,485
16,40,185
16,41,454
16,42,561
16,43,216
16,44,170
16,45,174
16,46,676
16,47,402
16,48,100
16,49,177
16,50,278
16,51,367
17,27,413
17,28,500
17,29,713
17,30,620
17,31,312
17,32,497
17,33,865
17,34,528
17,35,1048
17,36,523
17,37,631
17,38,759
17,39,669
17,40,654
17,41,1140
17,42,909
17,43,583
17,44,300
17,45,413
17,46,698
17,47,1143
17,48,540
17,49,427
17,50,732
17,51,776
18,27,193
18,28,598
18,29,297
18,30,165
18,31,140
18,32,161
18,33,519
18,34,164
18,35,170
18,36,144
18,37,601
18,38,155
18,39,235
18,40,209
18,41,672
18,42,198
18,43,153
18,44,132
18,45,155
18,46,564
18,47,249
18,48,142
18,49,220
18,50,528
18,51,134
19,27,222
19,28,810
19,29,511
19,30,281
19,31,360
19,32,176
19,33,77
19,34,713
19,35,293
19,36,161
19,37,619
19,38,247
19,39,354
19,40,200
19,41,610
19,42,356
19,43,295
19,44,272
19,45,202
19,46,695
19,47,439
19,48,216
19,49,214
19,50,541
19,51,149
22,27,73
22,28,101
22,29,214
22,30,38
22,31,84
22,32,55
22,33,143
22,34,87
22,35,56
22,36,75
22,37,252
22,38,99
22,39,44
22,40,115
22,41,86
22,42,235
22,43,37
22,44,37
22,45,54
22,46,201
22,47,172
22,48,26
22,49,80
22,50,160
22,51,69
23,27,132
23,28,164
23,29,254
23,30,52
23,31,42
23,32,57
23,33,228
23,34,70
23,35,58
23,36,56
23,37,242
23,38,187
23,39,17
23,40,101
23,41,231
23,42,308
23,43,35
23,44,32
23,45,72
23,46,358
23,47,141
23,48,35
23,49,66
23,50,219
23,51,177
25,27,311
25,28,323
25,29,358
25,30,371
25,31,59
25,32,337
25,33,312
25,34,256
25,35,65
25,36,257
25,37,311
25,38,155
25,39,155
25,40,325
25,41,361
25,42,531
25,43,83
25,44,43
25,45,308
25,46,434
25,47,292
25,48,72
25,49,161
25,50,388
25,51,203
26,27,91
26,28,133
26,29,638
26,30,753
26,31,24
26,32,46
26,33,136
26,34,33
26,35,44
26,36,48
26,37,147
26,38,102
26,39,8
26,40,80
26,41,123
26,42,138
26,43,25
26,44,26
26,45,30
26,46,265
26,47,40
26,48,20
26,49,66
26,50,185
26,51,80
27,27,65
27,28,52
27,29,203
27,30,24
27,31,14
27,32,26
27,33,104
27,34,56
27,35,47
27,36,24
27,37,99
27,38,97
27,39,2
27,40,40
27,41,39
27,42,173
27,43,9
27,44,14
27,45,28
27,46,184
27,47,52
27,48,10
27,49,32
27,50,66
27,51,91
28,27,70
28,28,38
28,29,79
28,30,22
28,31,9
28,32,20
28,33,30
28,34,26
28,35,8
28,36,16
28,37,40
28,38,29
28,40,28
28,41,10
28,42,56
28,45,16
28,46,47
28,47,18
28,48,11
28,49,20
28,50,28
28,51,17
29,27,204
29,28,94
29,29,688
29,30,832
29,31,123
29,32,166
29,33,104
29,34,118
29,35,43
29,36,98
29,37,162
29,38,104
29,39,79
29,40,127
29,41,126
29,42,196
29,43,90
29,44,74
29,45,101
29,46,172
29,47,138
29,48,81
29,49,220
29,50,168
29,51,42
30,27,182
30,28,205
30,29,583
30,30,474
30,31,130
30,32,221
30,33,397
30,34,331
30,35,492
30,36,199
30,37,414
30,38,334
30,39,181
30,40,213
30,41,357
30,42,671
30,43,145
30,44,180
30,45,117
30,46,551
30,47,246
30,48,134
30,49,211
30,50,313
30,51,270
33,27,39
33,28,33
33,29,93
33,30,82
33,31,24
33,32,36
33,33,16
33,34,35
33,35,68
33,36,46
33,37,64
33,38,32
33,39,66
33,40,59
33,41,95
33,42,67
33,43,82
33,44,50
33,45,22
33,46,89
33,47,37
33,48,81
33,49,26
33,50,61
33,51,17
34,28,6
34,32,6
34,36,6
34,37,1
34,40,8
34,41,1
34,45,6
34,46,1
34,49,6
34,50,1
35,27,61
35,28,118
35,29,133
35,30,33
35,31,431
35,32,93
35,33,130
35,34,47
35,35,38
35,36,39
35,37,180
35,38,33
35,39,27
35,40,56
35,41,55
35,42,182
35,43,31
35,44,32
35,45,40
35,46,188
35,47,43
35,48,46
35,49,41
35,50,155
35,51,39
36,27,133
36,28,153
36,29,208
36,30,81
36,31,87
36,32,124
36,33,154
36,34,112
36,35,115
36,36,117
36,37,240
36,38,116
36,39,74
36,40,165
36,41,150
36,42,187
36,43,110
36,44,64
36,45,130
36,46,257
36,47,115
36,48,81
36,49,156
36,50,204
36,51,107
37,26,5
37,27,164
37,28,170
37,29,429
37,30,320
37,31,211
37,32,180
37,33,72
37,34,285
37,35,506
37,36,110
37,37,298
37,38,209
37,39,140
37,40,130
37,41,255
